sampleID,IGSN,core,depth,enzyme,temperature,substrate_conc,activity
N/A,N/A,N/A,cm,N/A,degreeCelsius,micromolar,nmol/g_dry_soil/h
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,450,961.4703243
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,450,941.371056
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,450,687.385378
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,450,786.998503
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,250,767.2258743
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,250,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,250,722.8427184
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,250,777.446822
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,150,799.320264
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,150,741.935551
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,150,644.6949284
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,150,727.33659
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,100,654.7807246
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,100,647.4667777
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,100,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,100,669.0538091
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,60,563.1099478
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,60,559.8176819
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,60,507.6896303
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,60,617.9135366
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,30,398.8966108
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,30,398.4336835
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,30,415.4706268
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,30,405.7537216
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,10,183.5883883
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,10,199.7375467
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,10,265.3666296
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,4,10,147.9658272
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,800,-9999
BE201907091COP0010,IEBWE009X,Core1,00-10,BG,10,800,-9999
