Year,Block,Treatment,Litter Addn,Horiozn,Lysimeter,depth,increment,gwc_2mm,m_soil,m_co_rt,m_fi_rt,m_rt,C13_soil,C13_co_rt,C13_fi_rt,F_soil,F_co_rt,F_fi_rt,C_soil,C_co_rt,C_fi_rt,Fc_soil,Fc_rt,x_soil,x_coroot,x_firoot,g_C_soil,g_C_co_rt,g_C_fi_rt,g_C_added to A or B
2014,2,Control,B horizon,B,26,35-40cm,5,0.0141,223.89,0.0345,0.015608617,0.0501,-26.56079298,60.83148873,-27.36909847,0.01082037,0.011780345,0.010811482,0.009205682,0.319547641,0.386697005,0.01081539,0.01080029,0.000110215,0.021682772,0.236755224,2.061060143,0.011024394,0.006035805,0.056949
2014,2,Control,B horizon,B,26,40-45cm,5,0.0114,159.67,0.0576,0.0158,0.0734,-16.37350755,-28.44659335,10.42580385,0.01093237,0.010799635,0.011226883,0.008628398,0.294575904,0.418005921,0.010815835,0.01080029,0.002579112,-1.45E-05,0.191323606,1.377696309,0.016967572,0.006604494,0.056949
2015,2,Heated,A horizon,A,30,07-14cm,7,0.087,262.14,0.068,0.035,0.103,-26.33307311,-19.56,-2.56,0.010768662,0.01084,0.01103,0.02,0.34,0.48,0.01075,0.010653333,0.00041242,0.004116436,0.00830638,5.22,0.02312,0.0168,0.056949
2015,2,Heated,A horizon,A,30,14-20cm,6,0.046,300.56,0.053,0.042,0.094,-27.39117612,-28.9,-27.76,0.010757085,0.01074,0.01075,0.009,0.4,0.46,0.010755,0.010653333,4.61E-05,0.001911203,0.002131726,2.81,0.0212,0.01932,0.056949
2014,2,Heated,A horizon,A,30,05-10cm,5,0.0162,187.4,0.0281,0.029501007,0.0576,-21.57205948,-26.88282708,-12.80526444,0.01087522,0.010816829,0.010971593,0.025518088,0.425976733,0.405523792,0.010799864,0.010804466,0.001667163,0.000273545,0.20587056,4.782089691,0.011969946,0.01196336,0.056949
2014,2,Heated,A horizon,A,30,10-15cm,5,0.0156,220.96,0.033,0.031965876,0.065,-19.13747228,-21.02889661,-11.09252629,0.010901985,0.010881191,0.010990419,0.022083392,0.436838822,0.392225044,0.010801534,0.010804466,0.002222443,0.001697623,0.194000945,4.879546296,0.014415681,0.012537817,0.056949
2014,2,Heated,A horizon,A,30,15-20cm,5,0.0147,222.95,0.0263,0.020639843,,-26.30138659,-28.06765604,-28.51026353,0.010823222,0.010803801,0.010798934,0.013624835,0.412721103,0.455823086,0.010803447,0.010804466,0.000437533,-1.47E-05,0.229257179,3.037656963,0.010854565,0.009408117,0.056949
2015,2,Unplanted,B horizon,B,31,35-45cm,8,0.131,370.84,0,0.004,0.004,-15.5383938,,71.28,0.01088675,,0.01184,0.006,,0.24,0.010765,0.01064875,0.0026915,0,0.026267192,2.31,0,0.00096,0.056949
2014,2,Unplanted,B horizon,B,31,35-40cm,5,0.016,254.24,NaN,0.004131744,,-12.54029623,,,0.010974506,,,0.006205559,,,0.010817306,NaN,0.003479208,,,1.57770132,,,0.056949
2014,2,Unplanted,B horizon,B,31,40-45cm,5,0.016,201.99,NaN,0.0038,,-10.1644211,,,0.011000621,,,0.007223604,,,0.010816486,NaN,0.00407527,,,1.459095772,,,0.056949
2015,2,Heated,B horizon,B,32,35-45cm,9,0.033,415.03,0.075,0.064,0.139,-15.46608987,6.04,8.48,0.010887541,0.01112,0.01115,0.006,0.4,0.4,0.01076,0.01064875,0.002819209,0.010391114,0.011052617,2.39,0.03,0.0256,0.056949
