,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incubation Experimemt Conditions and results, supporting Fig 4a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Summary of BH Samples,,,,,,,,Summary of TT05 Samples,,,,,,,,,Summary of TT02 Samples,,,,,,,,Summary of TT03 Samples,,,,,,,,,,,,,
,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,Non-Sterilized samples,,,,,,,,Non-Sterilized samples,,,,,,,,,,,,,
,BH samples,,,,Summer_2,,,,TT05 samples,,,,,Summer_2,,,,TT02 samples,,,,,,,,TT03 samples,,,,,,,,,,,,,
,Summer,"Depth, m",µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,R (n=3),Note,,Summer,,µgC-CO2/g soil/day,R (n=4),µgC-CO2/g soil/day,,,,,,,,,
,Spring,,"Equlibrium CO2, ppm",Stdev,,,,,Winter,,"Equlibrium CO2, ppm",,Stdev,,,,,,,,,,,,,,,,,,TT03,-10.5,86.96798554,6.116481083,6.915533375,13.03201446,,,
,BH-SF-15˚C,,432,16,,,,,5-SF-15˚C,,508,,,,,,,,,,,,,,,,,,,,TT03,-11,82.97105103,8.137548917,8.891400053,17.02894897,,,
,BH-VZ1-13˚C,,649,148,,,,,5-VZ1-13˚C,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BH-VZ2-13˚C,,540,101,,,,,5-VZ2-13˚C,,533,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
,BH-WT-11˚C,,N/A,,,,,,5-WT-11˚C,,1518,,211,,,,,,,,,,,,,,,,,,,,,,,,,,
,BH-GW-11˚C,,N/A,,,,,,5-GW-11˚C,,1327,,283,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,New summaray of CO2 incubation data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Summer,Fall,Winter,Spring,,,,,,Depth,TT02,TT03,TT05,BH,"ave, CO2 Rate",std,%,,,,,,,,,,,,,,,,,,,
,,,,µgC-CO2/g soil/day,,,,,,,,Fall,-0.15,0.13,0.15,,,0.139,0.014,10.07,,,,,,,,,,,,,,,,,,,
,,TT02,-0.15,0.232,0.125,0.03,0.147,,,,,,-0.30,,,0.04,0.11,0.075,0.035,46.67,,,,,,,,,,,,,,,,,,,
,,,-1.11,0.251,0.155,0.072,0.191,,,,,,-1.11,0.16,0.19,,,0.172,0.017,9.62,,,,,,,,,,,,,,,,,,,
,,,-1.98,0.277,0.146,0.091,0.188,,,,,,-1.52,,,0.04,0.16,0.103,0.059,57.07,,,,,,,,,,,,,,,,,,,
,,,-2.9,0.207,0.088,0.077,0.142,,,,,,-2.06,0.15,0.14,0.09,0.13,0.127,0.020,15.95,,,,,,,,,,,,,,,,,,,
,,,-3.2,0.128,0.072,0.042,0.11,,,,,,-2.90,0.09,0.10,0.17,0.09,0.112,0.032,28.16,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-3.20,0.07,0.21,,,0.143,0.071,49.47,,,,,,,,,,,,,,,,,,,
,,TT03,-0.15,0.319,0.153,0.03,0.21,,,,,,-3.96,,,0.09,0.10,0.094,0.001,1.06,,,,,,,,,,,,,,,,,,,
,,,-1.11,0.327,0.188,0.07,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
