date,,PH_discharge_ISPOC,,
5/17/16 12:00,5/17,4.105155733,,
5/18/16 12:00,5/18,3.782516532,,
5/19/16 12:00,5/19,4.138868832,,
5/20/16 12:00,5/20,4.611139055,,
5/21/16 12:00,5/21,5.402795218,,
5/22/16 12:00,5/22,6.077371548,,
5/23/16 12:00,5/23,5.805307864,,
5/24/16 12:00,5/24,5.438311291,,
5/25/16 12:00,5/25,5.355017368,,
5/26/16 12:00,5/26,5.07174412,,
5/27/16 12:00,5/27,4.423895111,,
5/28/16 12:00,5/28,4.009133169,,
5/29/16 12:00,5/29,4.172417048,,
5/30/16 12:00,5/30,4.777476226,,
5/31/16 12:00,5/31,5.36569009,,
6/1/16 12:00,6/1,6.302726825,,
6/2/16 12:00,6/2,7.405367218,,
6/3/16 12:00,6/3,8.848208168,,
6/4/16 12:00,6/4,10.58355459,,
6/5/16 12:00,6/5,12.22011675,,
6/6/16 12:00,6/6,12.23730106,,
6/7/16 12:00,6/7,11.94076769,,
6/8/16 12:00,6/8,11.88651632,,
6/9/16 12:00,6/9,11.60213529,,
6/10/16 12:00,6/10,11.88352248,,
6/11/16 12:00,6/11,12.03652386,,
6/12/16 12:00,6/12,11.25232959,,
6/13/16 12:00,6/13,9.417197674,,
6/14/16 12:00,6/14,8.007777155,,
6/15/16 12:00,6/15,8.005235602,,
6/16/16 12:00,6/16,8.135697425,,
6/17/16 12:00,6/17,7.879887185,,
6/18/16 12:00,6/18,7.757100537,,
6/19/16 12:00,6/19,7.859505689,,
6/20/16 12:00,6/20,8.365697558,,
6/21/16 12:00,6/21,8.529855986,,
6/22/16 12:00,6/22,7.645382384,,
6/23/16 12:00,6/23,6.647114165,,
