SampleSiteCode,FieldPointName,Northing,Easting,Elevation,Code,EPSG,,,
131-ER18,TR-131,4311752.527,325540.21,2971.113,CP-PLOT,26913,,,
132-ER18,TR-132-ASPEN,4311740.743,325652.058,2982.266,CP-PLOT,26913,,,
133-ER18,TR-133-ASPEN,4311676.948,325621.295,2974.895,CP-PLOT,26913,,,
133-ER18,TR-133-ASPEN1,4311673.42,325619.859,2972.147,CP-PLOT,26913,,,
133-ER18,TR-133-ASPEN2,4311673.94,325619.028,2975.07,CP-PLOT,26913,,,
134-ER18,L-134,4311716.765,325517.117,2968.971,CP-PLOT,26913,,,
135-ER18,L-135,4311697.598,325515.027,2966.766,CP-PLOT,26913,,,
135-ER18,L-135-WILLOW1,4311698.703,325554.662,2965.884,CP-PLOT,26913,,,
136-ER18,L-136-POTENTILLA,4311695.276,325579.748,2966.56,CP-PLOT,26913,,,
137-ER18,L-137-WILLOW,4311638.087,325559.321,2961.754,CP-PLOT,26913,,,
138-ER18,L-138-SAGE,4311588.691,325608.583,2962.792,CP-PLOT,26913,,,
139-ER18,L-139-SAGE,4311536.651,325591.949,2956.169,CP-PLOT,26913,,,
140-ER18,L-140,4311541.345,325479.687,2951.467,CP-PLOT,26913,,,
141-ER18,L-141,4311565.036,325497.882,2954.202,CP-PLOT,26913,,,
142-ER18,L-142,4311640.69,325521.24,2961.693,CP-PLOT,26913,,,
144-ER18,144-A,4317319.357,326568.014,2989.681,CP-PLOT,26913,,,
144-ER18,144-B,4317319.547,326567.036,2989.584,CP-PLOT,26913,,,
144-ER18,144-C,4317320.512,326567.189,2989.715,CP-PLOT,26913,,,
144-ER18,144-D,4317320.296,326568.184,2989.857,CP-PLOT,26913,,,
145-ER18,145-A,4317330.133,326565.948,2990.268,CP-PLOT,26913,,,
145-ER18,145-B,4317330.31,326565.04,2990.161,CP-PLOT,26913,,,
145-ER18,145-C,4317331.333,326565.219,2990.314,CP-PLOT,26913,,,
145-ER18,145-D,4317331.109,326566.218,2990.5,CP-PLOT,26913,,,
146-ER18,146-A,4317311.087,326551.16,2985.809,CP-PLOT,26913,,,
146-ER18,146-B,4317311.054,326550.143,2985.661,CP-PLOT,26913,,,
146-ER18,146-C,4317312.057,326550.175,2985.68,CP-PLOT,26913,,,
146-ER18,146-D,4317312.063,326551.087,2985.808,CP-PLOT,26913,,,
147-ER18,147-A,4317299.78,326529.238,2981.976,CP-PLOT,26913,,,
147-ER18,147-B,4317299.797,326528.186,2981.885,CP-PLOT,26913,,,
147-ER18,147-C,4317300.642,326528.409,2982.006,CP-PLOT,26913,,,
147-ER18,147-D,4317300.665,326529.458,2982.148,CP-PLOT,26913,,,
148-ER18,148-A,4317272.581,326510.691,2978.163,CP-PLOT,26913,,,
148-ER18,148-B,4317272.689,326509.735,2978.036,CP-PLOT,26913,,,
148-ER18,148-C,4317273.684,326509.836,2978.102,CP-PLOT,26913,,,
148-ER18,148-D,4317273.573,326510.812,2978.318,CP-PLOT,26913,,,
149-ER18,149-A,4317291.718,326504.389,2978.235,CP-PLOT,26913,,,
149-ER18,149-B,4317291.803,326503.364,2978.027,CP-PLOT,26913,,,
149-ER18,149-C,4317292.849,326503.447,2978.116,CP-PLOT,26913,,,
149-ER18,149-D,4317292.761,326504.469,2978.239,CP-PLOT,26913,,,
150-ER18,150-A,4317257.202,326490.235,2974.426,CP-PLOT,26913,,,
150-ER18,150-B,4317257.215,326489.273,2974.322,CP-PLOT,26913,,,
150-ER18,150-C,4317258.245,326489.293,2974.374,CP-PLOT,26913,,,
150-ER18,150-D,4317258.288,326490.337,2974.446,CP-PLOT,26913,,,
151-ER18,151-A,4317279.242,326499.094,2977.044,CP-PLOT,26913,,,
151-ER18,151-B,4317279.624,326498.175,2976.891,CP-PLOT,26913,,,
151-ER18,151-C,4317280.589,326498.535,2977.044,CP-PLOT,26913,,,
151-ER18,151-D,4317280.1,326499.427,2977.171,CP-PLOT,26913,,,
152-ER18,152-B,4317193.014,326415.233,2958.382,CP-PLOT,26913,,,
152-ER18,152-C,4317194.023,326415.287,2958.485,CP-PLOT,26913,,,
152-ER18,152-D,4317194.02,326416.303,2958.576,CP-PLOT,26913,,,
152-ER18,152-A,4317192.987,326416.155,2958.588,CP-PLOT,26913,,,
153-ER18,153-A,4317269.705,326486.461,2974.906,CP-PLOT,26913,,,
153-ER18,153-B,4317269.784,326485.381,2974.865,CP-PLOT,26913,,,
153-ER18,153-C,4317270.987,326485.58,2974.903,CP-PLOT,26913,,,
153-ER18,153-D,4317270.832,326486.647,2975.056,CP-PLOT,26913,,,
154-ER18,154-A,4316792.703,325923.618,2981.659,CP-PLOT,26913,,,
154-ER18,154-B,4316792.531,325922.609,2982.046,CP-PLOT,26913,,,
