"Date","AirT","SR","sn","P","SoilT","CLM_ET"
2015-06-14,4.2101108334629,508.100119862894,0,0,10.1184548571429,3.623033
2015-06-15,4.3548019325758,512.51883643512,0,0,10.3459808571429,3.90248
2015-06-16,4.53055707015247,518.190084965642,0,5,10.3193302857143,2.844047
2015-06-17,4.73690832643546,525.207927053463,0,7,10.4536642857143,3.485635
2015-06-18,4.97292751921791,533.587800069523,0,0,11.1642574285714,4.441307
2015-06-19,5.23696198334896,543.246356896922,0,0,12.0332584285714,4.527395
2015-06-20,5.52639486477639,553.992599828811,0,0,12.8967838571429,4.552958
2015-06-21,5.83749892543694,565.531738384629,0,0,13.7188532857143,4.609581
2015-06-22,6.16542848945336,577.481149895724,0,0,14.4670091428572,4.730422
2015-06-23,6.50437081745888,589.396686467213,0,0,15.157295,4.303608
2015-06-24,6.84786084302215,600.807127214182,0,0,15.4882145714286,4.145286
2015-06-25,7.18924103860169,611.253470194129,0,0,15.5137445714286,4.121058
2015-06-26,7.52221653320865,620.328494907534,0,0,15.5003255714286,4.07873
2015-06-27,7.84143022828181,627.712049314454,0,0,15.4839027142857,3.657315
2015-06-28,8.14297777024008,633.198343830828,0,0,15.3998617142857,3.290805
2015-06-29,8.42479682795157,636.712825596981,0,0,15.3179438571429,3.214854
2015-06-30,8.68688035743631,638.317023169703,0,0,15.3155242857143,3.37764
2015-07-01,8.93127880736917,638.200382057547,0,0,15.4563454285714,3.961692
2015-07-02,9.16188246195697,636.659903279529,0,0,15.6016004285714,3.44111
2015-07-03,9.38400976770191,634.070644222711,0,5,15.3203635714286,3.556578
2015-07-04,9.60385457612263,630.850819635531,0,7,14.930458,3.234279
2015-07-05,9.82785645407124,627.42507739643,0,5,14.3677704285714,2.730431
2015-07-06,10.0620573273662,624.189039577059,0,5,13.6419752857143,2.691549
2015-07-07,10.3115080703939,621.478170851,0,8,12.6526258571429,3.373335
2015-07-08,10.5797850487071,619.543975873089,0,12,11.648022,2.720247
2015-07-09,10.8686589156703,618.539170528178,0,11,10.7774121428572,2.576536
2015-07-10,11.1779324770151,618.511442925043,0,4,10.2733097142857,2.507397
2015-07-11,11.5054444699331,619.404751044934,0,0,9.90630957142858,3.102371
2015-07-12,11.8472236756928,621.067107839953,0,2,9.82432200000001,3.802944
2015-07-13,12.1977682193318,623.263926855413,0,4,9.97167385714287,3.015066
2015-07-14,12.5504112556779,625.695499884312,0,5,10.1302737142857,3.255652
2015-07-15,12.8977259207586,628.016642656011,0,7,10.3863991428572,2.881068
2015-07-16,13.2319280529248,629.857060321772,0,0,10.7590537142857,3.746079
2015-07-17,13.5452479811781,630.842096033697,0,0,11.2194331428572,3.558353
2015-07-18,13.8302537428687,630.613737562545,0,3,11.4104382857143,2.996174
2015-07-19,14.0801175654509,628.851452946947,0,4,11.3798945714286,2.077194
2015-07-20,14.288829149771,625.292018093949,0,8,11.107704,3.869929
2015-07-21,14.4513732688135,619.747611300276,0,11,11.0737074285714,2.214833
2015-07-22,14.5638952299854,612.121635064744,0,7,11.1233768571429,2.811036
2015-07-23,14.6238707360163,602.421258253323,0,0,11.2206145714286,3.656837
2015-07-24,14.6302831863334,590.76493499082,0,0,10.9429831428572,3.624729
2015-07-25,14.5837969391436,577.383038101157,0,12,10.8690347142857,2.962311
2015-07-26,14.4869026082353,562.61026741922,0,0,10.9561361428572,2.902113
2015-07-27,14.3439980718453,546.869287714481,0,0,11.3427938571429,3.34552
2015-07-28,14.1613611950477,530.645804148316,0,0,11.7945848571429,3.75225
2015-07-29,13.9469757746812,514.456172366453,0,0,12.2841652857143,3.76353
2015-07-30,13.710191061731,498.809953281254,0,0,12.6808588571429,3.841245
2015-07-31,13.4612215024546,484.171167667864,0,0,13.2470208571429,3.051095
2015-08-01,13.2105228226563,470.922745557791,0,0,13.6658354285714,2.826267
2015-08-02,12.9681041895463,459.338415780282,0,8,13.7381534285714,3.255635
2015-08-03,12.7428538792085,449.56562028272,0,6,13.4516544285714,2.301525
2015-08-04,12.5419625933316,441.621890404992,0,7,13.1182802857143,2.676322
2015-08-05,12.3705187927811,435.405516716265,0,0,12.9230637142857,3.68319
2015-08-06,12.2313277534274,430.719285024511,0,0,12.8005312857143,3.405502
2015-08-07,12.1249730352482,427.303873301837,0,0,12.4407682857143,3.689184
2015-08-08,12.0501001682453,424.87593557622,0,5,12.043691,2.545903
2015-08-09,12.0038710727892,423.16559258755,0,0,12.0654935714286,3.19557
2015-08-10,11.9825159805418,421.948146305734,0,0,12.499144,3.383913
2015-08-11,11.9818998832001,421.065718323522,0,4,12.659514,2.791924
2015-08-12,11.9980246871117,420.436043717235,0,8,12.4445394285714,2.638335
2015-08-13,12.0274017326383,420.04773023636,0,0,12.2848758571429,3.40447
2015-08-14,12.0672559270849,419.943751506528,0,0,12.584698,3.548861
2015-08-15,12.1155576315645,420.196989795735,0,0,13.1648894285714,3.504446
2015-08-16,12.1709078447437,420.882395727353,0,0,13.6694322857143,2.95916
2015-08-17,12.2323223237517,422.050703839191,0,4,13.6364775714286,3.049609
2015-08-18,12.2989706285736,423.708149172392,0,7,13.6556381428572,2.480057
2015-08-19,12.3699282879472,425.80551013445,0,0,13.767895,2.26599
2015-08-20,12.4439977942989,428.238155444199,0,0,13.7682394285714,2.42822
