energy,Hillslope1_20-30cm_2017,Hillslope3_20-30cm_2017,Hillslope3_50-60cm_2017,MCB3_15-30cm_2017,MCB3_50-90cm_2017,MCB3_105-140cm_2017,MCB3_0-12cm_2018,MCB3_40-55cm_2018,MCB3_70-85cm_2018,MZA2_0-15cm_2018,MZA2_30-45cm_2018,MZA2_60-75cm_2018,MYC3_2-15cm_2018
2473.5,0.9182669,0.78374861,0.9154846,0.87700803,1.1663953,0.90207401,0.95494156,0.9103089,1.1275251,0.86952677,1.0124218,0.91642044,1.0683255
2473.65,0.86516398,0.74729794,0.9028927,0.84301264,1.1158361,0.83636047,0.91018042,0.87343735,1.0516738,0.82010614,0.95154997,0.84661012,1.0217353
2473.8,0.80286932,0.68388939,0.85946298,0.78995581,1.0688953,0.76958992,0.83956553,0.80580941,0.95042285,0.75855073,0.87461648,0.79353526,0.97121713
2473.95,0.76717264,0.63926588,0.81203697,0.7576228,0.99387966,0.71743315,0.75898442,0.7138056,0.8705294,0.69125353,0.78953796,0.71536289,0.89501448
2474.1,0.75028121,0.58997299,0.77546213,0.69486823,0.96281564,0.66253104,0.6946719,0.62603606,0.76329086,0.63050006,0.72178775,0.66026052,0.84947315
2474.25,0.70043342,0.54631389,0.72550571,0.6491032,0.86142355,0.63086698,0.65360926,0.61023863,0.70801442,0.57387938,0.6364753,0.61200672,0.80409739
2474.4,0.67127206,0.5152163,0.70742135,0.6232598,0.89426241,0.60768029,0.61171073,0.55579874,0.65350873,0.55018561,0.61104296,0.57059504,0.7917723
2474.55,0.65485522,0.50024305,0.71270353,0.60999175,0.8396163,0.58127323,0.60088743,0.54360627,0.63599118,0.53536361,0.5733394,0.5415998,0.76024752
2474.7,0.65637333,0.49739566,0.68872021,0.61578638,0.82995099,0.56444493,0.59872572,0.53601874,0.63294325,0.53655305,0.5884942,0.54084306,0.7848977
2474.85,0.66705935,0.52816848,0.70416215,0.62468322,0.85523502,0.56272985,0.59829514,0.55397033,0.62211056,0.55662061,0.61615983,0.35148252,0.79668306
2475,0.67212017,0.54055192,0.70688754,0.64030599,0.85332499,0.56119192,0.61071072,0.55029166,0.61922245,0.56426076,0.57418716,0.57821284,0.80624881
2475.15,0.72127033,0.54871218,0.74818042,0.65326669,0.8589495,0.56097728,0.6115636,0.59002052,0.61008299,0.59263629,0.59018642,0.56795201,0.82577602
2475.3,0.70707222,0.56594897,0.72975585,0.66443932,0.86641733,0.56174553,0.65018384,0.605587,0.63942341,0.60059289,0.60983949,0.58331898,0.82092451
2475.45,0.73115476,0.57214192,0.73473007,0.68787637,0.87826601,0.5605436,0.63195827,0.59423577,0.63690149,0.61116676,0.62035427,0.57915018,0.8225184
2475.6,0.7260824,0.58140926,0.73076395,0.66923868,0.85345555,0.57113388,0.66215321,0.58940812,0.64119307,0.60921243,0.57696965,0.57984085,0.83248216
2475.75,0.70354022,0.56696374,0.71887025,0.65818717,0.79277275,0.57592769,0.64666608,0.57787319,0.62597736,0.60798728,0.58640872,0.58788532,0.86485761
2475.9,0.69507207,0.55006609,0.71459956,0.65691221,0.79666372,0.58725076,0.6540592,0.5790556,0.60833392,0.61022209,0.5711163,0.58221066,0.85025359
2476.05,0.67323251,0.51617089,0.68555928,0.63960731,0.79869232,0.60476432,0.66190589,0.59154818,0.63963989,0.61567987,0.58117353,0.59176702,0.8490992
2476.2,0.6619566,0.505886,0.67529817,0.63068396,0.77154056,0.63264585,0.65687086,0.58195142,0.61361532,0.61909314,0.57210654,0.57837094,0.86056223
2476.35,0.63985196,0.50827539,0.66948921,0.6044925,0.76823582,0.65811036,0.6521578,0.57779978,0.59908959,0.63276262,0.57538178,0.57277711,0.85951036
2476.5,0.6338197,0.49428155,0.64867695,0.58782039,0.74084857,0.69415006,0.67025827,0.59756474,0.65736645,0.63207015,0.58133584,0.58585715,0.88159788
2476.65,0.63387275,0.48769961,0.65364711,0.58907735,0.74795554,0.73110297,0.67372229,0.62032567,0.66024792,0.61833828,0.57997505,0.63705643,0.9140467
2476.8,0.62719996,0.48954643,0.64796817,0.58509574,0.74665303,0.76622655,0.69501505,0.64137824,0.62255862,0.66639896,0.62493588,0.60340011,0.91533069
2476.95,0.63352562,0.48540191,0.64620973,0.59219594,0.73758301,0.79065344,0.71477452,0.67449795,0.65380576,0.67931096,0.67107754,0.63325746,0.91676293
2477.1,0.61305564,0.5063471,0.65329355,0.60241205,0.74721441,0.81217259,0.72603335,0.69215793,0.66129248,0.6937289,0.63891678,0.65495732,0.93350155
2477.25,0.60896868,0.50055334,0.67620985,0.60113373,0.73457904,0.83263521,0.73543247,0.68224922,0.67278671,0.71510816,0.67757033,0.66598373,0.95031898
2477.4,0.6312564,0.51449019,0.64651579,0.60182464,0.73746605,0.84609161,0.76095999,0.73343342,0.71006309,0.72361009,0.66456922,0.65744188,0.95605681
2477.55,0.64726315,0.5117661,0.66390151,0.62011128,0.76383959,0.85417135,0.75431797,0.72077547,0.69687226,0.73754592,0.68855135,0.6850766,0.95601204
