energy,Hillslope1_20-30cm_HEAVY,Hillslope1_70-80cm_LIGHT,Hillslope1_70-80cm_HEAVY,Hillslope3_20-30cm_LIGHT,Hillslope3_20-30cm_HEAVY,Hillslope3_30-50cm_HEAVY,Hillslope3_50-60cm_LIGHT,Hillslope3_70-80cm_LIGHT,Hillslope3_70-80cm_HEAVY,MCB3_15-30cm_LIGHT,MCB3_15-30cm_HEAVY,MCB3_50-88cm_LIGHT,MCB3_50-88cm_HEAVY,MCB3_105-140cm_LIGHT,MCB3_105-140cm_HEAVY
2476.35,0.82313068,0.74463352,0.84941354,0.81099277,0.79520929,0.66119168,0.79914096,0.71435873,1.0901092,0.70567374,0.80063144,1.0062394,1.152068,0.71051147,0.82524753
2476.5,0.82449343,0.76010567,0.84136517,0.7830713,0.78773314,0.64706239,0.79270503,0.69964104,1.0706336,0.68413003,0.76990237,0.99300536,1.1515018,0.70221027,0.85645351
2476.65,0.80708467,0.78111115,0.81351717,0.77880845,0.75859939,0.63396638,0.78104969,0.68610662,1.0648295,0.67279005,0.76407388,0.9504785,1.1178546,0.68111198,0.89399202
2476.8,0.795607,0.80390283,0.81195425,0.77946962,0.76325852,0.65497229,0.78271836,0.67792345,1.0241593,0.67256589,0.77031191,0.96079399,1.1000563,0.6742303,0.92847701
2476.95,0.77429565,0.82439695,0.79869593,0.7669755,0.75740705,0.6473976,0.77835322,0.68826357,1.0406389,0.67184151,0.75779598,0.9623356,1.1182737,0.68271583,0.94431994
2477.1,0.7746081,0.84347248,0.79933481,0.76497606,0.74394058,0.63388908,0.77839141,0.68655247,1.0143224,0.66572225,0.75033858,0.96248149,1.0844533,0.6750364,0.9664815
2477.25,0.76164766,0.86487876,0.79223665,0.7663818,0.75540427,0.64237732,0.78361851,0.69705494,1.0113475,0.67866961,0.74270384,0.95712684,1.0726688,0.68779863,0.96852568
2477.4,0.76834942,0.88457585,0.79757574,0.76430944,0.74367168,0.65747136,0.79661389,0.70297889,1.016002,0.68268612,0.74844024,0.93939452,1.0609095,0.68682609,0.97215351
2477.55,0.78844764,0.89664011,0.80201432,0.77983557,0.7506145,0.66107395,0.80156739,0.7170499,0.9836015,0.68045157,0.74821273,0.94192733,1.0645535,0.70236985,0.97911271
2477.7,0.77145076,0.89778252,0.82182345,0.78859083,0.74367051,0.68782525,0.82023236,0.73638786,0.97132357,0.71113906,0.76345533,0.94704318,1.0434062,0.71398169,0.99230397
