GRO_BOT_energy,GRO_BOT_data,GRO_MID_energy,GRO_MID_data,GRO_TOP_energy,GRO_TOP_data,PLM6_pristine_energy,PLM6_pristine_data,PLM6_weathered_energy,PLM6_weathered_data
2495.25,1.0047138,2495.25,1.0045216,2495.25,1.0329633,2495.25,0.99448722,2495.25,1.003453
2495.4,1.0018003,2495.4,1.0049669,2495.4,1.0399786,2495.4,1.0055449,2495.4,1.0019156
2495.55,1.0049421,2495.55,1.0073384,2495.55,1.022362,2495.55,0.99097843,2495.55,1.0043057
2495.7,1.0161817,2495.7,1.0005941,2495.7,1.0215275,2495.7,1.0001957,2495.7,1.0047244
2495.85,1.0131267,2495.85,0.99982726,2495.85,1.0244178,2495.85,0.99419047,2495.85,1.002381
2496,1.0065069,2496,0.99863762,2496,1.033862,2496,0.98489374,2496,1.0081708
2496.15,1.0001082,2496.15,0.99417449,2496.15,1.0247028,2496.15,0.987586,2496.15,0.99588063
2496.3,1.0126992,2496.3,0.98996929,2496.3,1.0362084,2496.3,0.98804957,2496.3,0.99550652
2496.45,1.0039632,2496.45,0.99493753,2496.45,1.0317522,2496.45,0.99029061,2496.45,0.99431121
2496.6,1.0000329,2496.6,1.0001046,2496.6,1.0364359,2496.6,0.97859641,2496.6,0.99853248
2496.75,1.0042578,2496.75,0.99948854,2496.75,1.0367742,2496.75,0.98001841,2496.75,0.99313451
2496.9,0.99873741,2496.9,1.0000039,2496.9,1.0277184,2496.9,0.98416564,2496.9,0.99551804
2497.05,1.0087966,2497.05,0.99856061,2497.05,1.0373923,2497.05,0.97926364,2497.05,0.99507172
2497.2,0.99333483,2497.2,0.99795674,2497.2,1.0397845,2497.2,0.98165673,2497.2,0.99675208
2497.35,0.9905628,2497.35,1.0003373,2497.35,1.0375925,2497.35,0.97736632,2497.35,0.99163403
2497.5,0.99627172,2497.5,0.99313382,2497.5,1.0449691,2497.5,0.98296654,2497.5,0.98874498
2497.65,1.000868,2497.65,0.99671429,2497.65,1.0287283,2497.65,0.96838227,2497.65,0.99033891
2497.8,0.99835242,2497.8,0.99195139,2497.8,1.0391624,2497.8,0.9739507,2497.8,0.98911637
2497.95,1.0016652,2497.95,0.99223956,2497.95,1.0372078,2497.95,0.96912027,2497.95,0.97970944
2498.1,0.99802809,2498.1,0.99639351,2498.1,1.0325458,2498.1,0.97115205,2498.1,0.9805337
2498.25,0.99781582,2498.25,0.99003423,2498.25,1.0409076,2498.25,0.9664736,2498.25,0.9812878
2498.4,0.99979342,2498.4,0.99217457,2498.4,1.0316175,2498.4,0.96959162,2498.4,0.98693792
