Energy (eV),spot 1,spot 3,spot 2
2550.4273,0.90752393,0.22392819,1.2422385
2550.6773,0.8969428,0.19469198,0.47101634
2550.9273,0.89726536,0.12117993,1.3819189
2551.1773,0.89612456,0.11891364,1.2158785
2551.4273,0.89418288,8.79E-02,0.90470536
2551.6774,0.94831166,5.01E-02,0.70580832
2551.9274,0.86963959,7.14E-02,1.1175704
2552.1774,0.81589847,-2.91E-02,0.51141109
2552.4274,0.88140292,-4.54E-02,1.0716635
2552.6774,0.86436201,-0.1039351,0.85002231
2552.9274,0.80353599,-0.16231791,0.61301969
2553.1774,0.85272375,-0.12813341,0.75458343
2553.4274,0.86583832,-0.19941798,1.0920045
2553.6774,0.84325818,-0.19034929,2.0996128
2553.9274,0.78098843,-0.20618422,0.98459229
2554.1774,0.69652764,-0.19863373,1.1776376
2554.4275,0.74272761,-0.30236413,0.57592597
2554.6775,0.82749602,-0.28479162,0.7583204
2554.9275,0.75758863,-0.29464392,1.2732019
2555.1775,0.71024765,-0.2806971,0.83429536
2555.4275,0.83845664,-0.3084891,0.63967742
2555.6775,0.73060117,-0.36820305,0.5061898
2555.9275,0.77205864,-0.35933271,1.2176485
2556.1775,0.70844264,-0.24546112,1.6073811
2556.4275,0.69930659,-0.33913477,1.9624594
2556.6775,0.70070112,-0.38132636,1.699238
2556.9276,0.79328936,-0.3686063,1.337792
2557.1776,0.70975077,-0.39750782,1.3321336
2557.4276,0.70141747,-0.37038619,0.79247403
2557.6776,0.72937685,-0.46526083,1.2170423
2557.9276,0.74412204,-0.4633604,1.4413149
2558.1776,0.71514106,-0.42172508,1.2594444
2558.4276,0.68276098,-0.45530174,0.84553767
2558.6776,0.61916933,-0.46254941,0.24599964
2558.9276,0.59456997,-0.45481211,0.87845132
2559.1776,0.62602205,-0.42505445,1.3887462
2559.4276,0.61178079,-0.44175719,1.60711
2559.6777,0.6156649,-0.42602875,0.95701593
2559.9277,0.61936246,-0.46750845,0.76661788
