Depth,BD.g.cc_mean,Plot,Treatment,MidDepth,Date,C13,%C,%N,CN,Instrument,MB_C.mg.gdrysoil
20-30,1.142677254,3,Control,25,20180404,-24.91,1.959880946,0.072450754,27.05121528,UCD_SIF_IRMS,NA
20-30,1.142677254,3,Control,25,20180404,-24.93833333,1.025733633,0.036756067,27.90651249,UZH,NA
30-40,1.268430279,3,Control,35,20140603,NA,0.912815832,0.020884439,43.71,UCBerk_IRMS,0.117231015
30-40,1.268430279,3,Control,35,20160517,-24.43,0.9,0.04,21.45,LBL_IRMS,0.12851008
30-40,1.268430279,3,Control,35,20180404,-24.57266667,0.598502967,0.024787367,24.14548406,UZH,NA
30-40,1.268430279,3,Control,35,20180404,-24.88,1.221494594,0.042654578,28.63689323,UCD_SIF_IRMS,0.141295114
40-50,1.365471685,3,Control,45,20140603,NA,0.536713391,0.022198273,24.18,UCBerk_IRMS,0.149195099
40-50,1.365471685,3,Control,45,20160517,-24.63,0.62,0.03,21.3,LBL_IRMS,NA
40-50,1.365471685,3,Control,45,20180404,-24.399,0.4803829,0.0214244,22.42223353,UZH,NA
40-50,1.365471685,3,Control,45,20180404,-24.64,0.629253034,0.028242091,22.28068117,UCD_SIF_IRMS,NA
50-60,1.43380147,3,Control,55,20140603,NA,0.735954593,0.021298277,34.55,UCBerk_IRMS,0.117521284
50-60,1.43380147,3,Control,55,20160517,NA,0.27,0.02,16.6,LBL_IRMS,0.036054318
50-60,1.43380147,3,Control,55,20180404,-24.42,0.487027705,0.018852516,25.83356505,UCD_SIF_IRMS,0.018053372
50-60,1.43380147,3,Control,55,20180404,-24.46933333,0.3724848,0.014291467,26.06344112,UZH,NA
60-70,1.473419635,3,Control,65,20140603,NA,1.246097344,2.865856807,0.43,UCBerk_IRMS,0.17280057
60-70,1.473419635,3,Control,65,20160517,-24.17,0.39,0.02,22.06,LBL_IRMS,NA
60-70,1.473419635,3,Control,65,20180404,-25.73,0.739549035,0.022236344,33.25857149,UCD_SIF_IRMS,NA
60-70,1.473419635,3,Control,65,20180404,-25.083,0.4582527,0.01373675,33.35961563,UZH,NA
70-80,1.484326179,3,Control,75,20140603,NA,0.34915804,0.017759891,19.66,UCBerk_IRMS,0.097060959
70-80,1.484326179,3,Control,75,20160517,-23.22,0.35,0.01,33.23,LBL_IRMS,NA
70-80,1.484326179,3,Control,75,20180404,-24.43,0.216860062,0.009711605,22.32999184,UCD_SIF_IRMS,NA
70-80,1.484326179,3,Control,75,20180404,-24.763,0.2808928,0.01059385,26.51470429,UZH,NA
80-90,1.466521104,3,Control,85,20140603,NA,0.77630662,0.015893526,48.84,UCBerk_IRMS,0.097138992
80-90,1.466521104,3,Control,85,20160517,NA,0.13,0.01,18.72,LBL_IRMS,0.013289812
80-90,1.466521104,3,Control,85,20180404,-23.9215,0.15551195,0.00608145,25.57152488,UZH,NA
80-90,1.466521104,3,Control,85,20180404,-23.94,0.175271629,0.007533588,23.26535769,UCD_SIF_IRMS,0.000519785
90-100,1.350239042,3,Control,95,20140603,NA,0.464563407,0.611721799,0.76,UCBerk_IRMS,0.122926544
0-10,0.805036342,3,Heated,5,20140603,NA,6.06752706,0.075327627,80.55,UCBerk_IRMS,0.912401048
0-10,0.805036342,3,Heated,5,20160517,-26.49,9.35,0.31,30.25,LBL_IRMS,0.490940443
0-10,0.805036342,3,Heated,5,20180404,-26.73,9.860621882,0.371188658,26.56498703,UCD_SIF_IRMS,0.36442249
0-10,0.805036342,3,Heated,5,20180404,-26.4035,5.3662476,0.1732762,30.96932874,UZH,NA
10-20,0.988212608,3,Heated,15,20140603,NA,1.790617237,0.042140704,42.49,UCBerk_IRMS,0.461397835
10-20,0.988212608,3,Heated,15,20160517,-25.62,2.87,0.11,26.13,LBL_IRMS,0.332569467
10-20,0.988212608,3,Heated,15,20180404,-25.53,4.243676278,0.163814892,25.90531432,UCD_SIF_IRMS,0.195399685
10-20,0.988212608,3,Heated,15,20180404,-25.931,2.5587685,0.0812858,31.4786654,UZH,NA
20-30,1.142677254,3,Heated,25,20140603,NA,0.832901661,0.023948525,34.78,UCBerk_IRMS,0.318332377
20-30,1.142677254,3,Heated,25,20160517,-24.54,1.26,0.06,20.54,LBL_IRMS,NA
20-30,1.142677254,3,Heated,25,20180404,-24.806,1.1880252,0.05169135,22.98305616,UZH,NA
20-30,1.142677254,3,Heated,25,20180404,-25.08,2.129200158,0.092990482,22.89696878,UCD_SIF_IRMS,NA
30-40,1.268430279,3,Heated,35,20140603,NA,0.535741348,0.021755845,24.63,UCBerk_IRMS,0.291328161
30-40,1.268430279,3,Heated,35,20160517,-24.53,0.79,0.04,18.9,LBL_IRMS,0.06976869
30-40,1.268430279,3,Heated,35,20180404,-25.014,0.83683385,0.0316654,26.4273892,UZH,NA
30-40,1.268430279,3,Heated,35,20180404,-24.63,1.003232834,0.044787069,22.40005552,UCD_SIF_IRMS,0.067303694
40-50,1.365471685,3,Heated,45,20140603,NA,0.470873005,0.014703407,32.02,UCBerk_IRMS,0.183507563
40-50,1.365471685,3,Heated,45,20160517,NA,0.32,0.02,15.48,LBL_IRMS,NA
40-50,1.365471685,3,Heated,45,20180404,-24.1815,0.53921115,0.0263317,20.47764292,UZH,NA
40-50,1.365471685,3,Heated,45,20180404,-24.14,0.622555626,0.030291738,20.55199411,UCD_SIF_IRMS,NA
50-60,1.43380147,3,Heated,55,20140603,NA,0.300251451,2.810024283,0.11,UCBerk_IRMS,0.132312631
50-60,1.43380147,3,Heated,55,20160517,NA,0.34,0.02,17.83,LBL_IRMS,0
50-60,1.43380147,3,Heated,55,20180404,-24.63,0.631257737,0.026903718,23.46358725,UCD_SIF_IRMS,0.035036256
50-60,1.43380147,3,Heated,55,20180404,-24.175,0.292386667,0.016214867,18.03201178,UZH,NA
60-70,1.473419635,3,Heated,65,20140603,NA,0.334879192,0.007680244,43.6,UCBerk_IRMS,0.147957948
